% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.796	1	1	80	7	2	28	1095	0
0.797	1	2	80	8	1	28	1095	0
0.797	1	1	80	8	2	28	1095	0
0.798	1	2	80	9	1	28	1095	0
0.798	1	1	80	9	2	28	1095	0
0.799	1	2	80	10	1	28	1095	0
0.799	1	1	80	10	2	28	1095	0
0.8	1	2	81	1	1	28	1095	0
0.8	1	1	81	1	2	28	1095	0
0.801	1	2	81	2	1	28	1095	0
0.801	1	1	81	2	2	28	1095	0
0.802	1	2	81	3	1	28	1095	0
0.802	1	1	81	3	2	28	1095	0
0.803	1	2	81	4	1	28	1095	0
0.803	1	1	81	4	2	28	1095	0
0.804	1	2	81	5	1	28	1095	0
0.804	1	1	81	5	2	28	1095	0
0.805	1	2	81	6	1	28	1095	0
0.805	1	1	81	6	2	28	1095	0
0.806	1	2	81	7	1	28	1095	0
0.806	1	1	81	7	2	28	1095	0
0.807	1	2	81	8	1	28	1095	0
0.807	1	1	81	8	2	28	1095	0
0.808	1	2	81	9	1	28	1095	0
0.808	1	1	81	9	2	28	1095	0
0.809	1	2	81	10	1	28	1095	0
0.809	1	1	81	10	2	28	1095	0
0.81	1	2	82	1	1	28	1095	0
0.81	1	1	82	1	2	28	1095	0
0.811	1	2	82	2	1	28	1095	0
0.811	1	1	82	2	2	28	1095	0
0.812	1	2	82	3	1	28	1095	0
0.812	1	1	82	3	2	28	1095	0
0.813	1	2	82	4	1	28	1095	0
0.813	1	1	82	4	2	28	1095	0
0.814	1	2	82	5	1	28	1095	0
0.814	1	1	82	5	2	28	1095	0
0.815	1	2	82	6	1	28	1095	0
0.815	1	1	82	6	2	28	1095	0
0.816	1	2	82	7	1	28	1095	0
0.816	1	1	82	7	2	28	1095	0
0.817	1	2	82	8	1	28	1095	0
0.817	1	1	82	8	2	28	1095	0
0.818	1	2	82	9	1	28	1095	0
0.818	1	1	82	9	2	28	1095	0
0.819	1	2	82	10	1	28	1095	0
0.819	1	1	82	10	2	28	1095	0
0.82	1	2	83	1	1	28	1095	0
0.82	1	1	83	1	2	28	1095	0
0.821	1	2	83	2	1	28	1095	0
0.821	1	1	83	2	2	28	1095	0
